stockorg_code,sku_code,dt,begin_stock_qty,demand_qty,production_qty,trans_in_qty,trans_out_qty,safety_stock_qty,todo_qty,end_stock_qty
warehouse.JLC,31010051995180501,2024-04-01,115.066,546.440,546.440,0.000,0.000,0.000,431.374,0.000
warehouse.HEP,31010010139000006,2024-04-01,1.332,0.000,0.000,0.000,0.000,0.000,0.000,1.332
warehouse.LSA,31010030010000000,2024-04-01,8.626,25.470,0.000,16.844,0.000,0.000,0.000,0.000
warehouse.QNC,31014050001163300,2024-04-01,178.818,244.090,244.090,0.000,0.000,0.000,65.272,0.000
warehouse.YCF,31010016458000000,2024-04-01,0.000,54.220,0.000,66.236,0.000,0.000,0.000,12.016
warehouse.LSD,31015830036000000,2024-04-01,0.032,1.410,0.000,1.378,0.000,0.000,0.000,0.000
warehouse.HZA,31716450013000000,2024-04-01,259.468,495.090,495.090,0.000,306.422,0.000,542.044,0.000
warehouse.LAC,31710001654000000,2024-04-01,13.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000
warehouse.GXC,31010050007000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.GSC,31010030014190001,2024-04-01,298.540,476.020,476.020,0.000,54.175,0.000,231.655,0.000
warehouse.WHC,31710000031000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HBA,31710000023000000,2024-04-01,10.800,23.140,0.000,37.622,0.000,0.000,0.000,25.282
warehouse.LSD,31014980005000000,2024-04-01,9.072,0.000,0.000,0.000,0.000,0.000,0.000,9.072
warehouse.GXC,31016710007000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XAF,31710000018000000,2024-04-01,14.842,17.800,0.000,20.047,0.000,0.000,0.000,17.089
warehouse.SXX,31710000031000000,2024-04-01,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
warehouse.WHC,31015610002000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HBA,31456720004000000,2024-04-01,0.000,9.500,0.000,9.500,0.000,0.000,0.000,0.000
warehouse.HSF,31010051995150102,2024-04-01,289.000,913.760,913.760,0.000,0.000,0.000,624.760,0.000
warehouse.WHC,31010051856000000,2024-04-01,290.352,887.000,887.000,0.000,0.000,0.000,596.648,0.000
